0,CO,NO2,SO2,O3,TEMPERATURE,HUMIDITY
1,0.388302935,0.231201067,0.074360349,0.22470931,0.12166667,0.2023114
2,2.395052885,0.991075913,0.140190441,0.936444699,0.204287213,0.429191222
3,0.154305387,0.071469655,0.010376459,0.067932718,0.021000371,0.050384351
4,0.392817244,0.267338092,0.101864908,0.260639058,0.144915048,0.224464586
