Period,C1,C2,C3,C4,C5
1,43.93,69.18,61.08,53.43,52.87
2,50.66,70.48,62.52,53.59,50.96
3,43.78,71.56,59.22,54.99,52.52
4,28.98,75.03,55.86,56.71,52.04
5,28.16,79.46,58.3,63.12,53.52
6,34.23,82.39,56.46,66.09,50.87
7,20,79.78,59.51,63.03,53.34
8,24.36,75.99,56.3,73.38,45.53
9,31.63,72.91,57.66,70.47,43.28
10,32.38,74.59,54.97,71.95,49.98
11,20.43,73.45,53.56,78.35,55.2
12,20.57,71.09,51.71,85,55.29
13,23.75,70.73,55.13,79.79,52
14,28.52,70.55,57.3,78.2,50.07
15,32.33,67.52,57.78,74.13,47.93
16,36.62,67.6,61.15,73.08,49.71
17,43.11,65.01,58.45,72.01,54.87
18,35.97,63.02,53.72,65.78,54.33
19,42.17,64.81,54.81,67.12,53.9
20,31.67,63.44,54.97,68.63,53.15
21,31.84,61.64,55.23,67.23,56.88
22,33.69,64.93,52.69,64.8,55.71
23,40.11,67.14,54.56,63.08,56.75
24,34.17,67.99,55.78,52.8,53.56
25,35.11,68.6,52.11,47.32,55.9
26,43.13,66.42,51.75,43.02,51.97
27,45.72,64.83,54.94,43.55,53.29
28,50.73,66.46,54.55,44.26,50.32
29,51.14,66.49,59.77,42.28,60.13
30,47.84,65.2,59.78,44.8,60.8
31,53.88,69.87,58.83,45.77,58.01
32,57.61,68.49,55,49.56,57.18
33,64.03,66.93,54.82,49.26,61.21
34,61.19,65.68,56.09,49.44,61.17
35,61.31,60.18,61,52.14,56.02
36,67.05,61.25,58.48,51.91,58.47
