Period,C1,C2,C3,C4,C5
1,54.69,66.18,67.92,69.17,61.77
2,48.3,65.64,68.43,66.17,64.48
3,58.83,63.85,71.62,68.32,65.21
4,51.51,64.55,66.31,74.74,64.63
5,51.09,63.39,64.08,74.19,64.76
6,49.18,62.91,61.85,75.44,61.49
7,49.68,64.44,60.54,74.76,58.61
8,42.52,65.53,60.14,70.37,56.55
9,46.6,64.95,57.49,66.48,54.36
10,46.4,65.24,57.12,60.69,58.76
11,45.24,64.15,60.73,59.65,59.93
12,52.52,62.98,61.61,67.57,61.9
13,56.09,62.51,60.42,68.31,61.32
14,65.12,60.66,61.88,75.44,59.9
15,71.71,62.95,64.09,70.98,61.49
16,68.62,63.37,58.8,68.53,62.34
17,67.1,62.15,58.72,76.02,61.5
18,73.58,61.94,65.62,69.57,58.08
19,71.3,62.91,66.29,63.23,62.22
20,70.99,62.49,67.33,71.8,66.2
21,68.51,61.97,73.03,76.06,64.2
22,70.74,62.75,69.7,76.89,66.67
23,76.45,64.44,73.03,76.91,66.16
24,73.52,65.3,72.81,81.57,65.01
25,71.23,65.26,74.32,84.02,62.96
26,76.16,65.78,77.08,86.95,62.07
27,85,65.64,77.12,92.87,62.34
28,90,64.88,75.91,98.26,59.45
29,82.81,63.78,78.72,98.8,59.6
30,82.43,62.53,79.17,92.42,56.6
31,84,61.21,80.26,98.37,56.22
32,84.28,60.89,83.05,93.77,54.41
33,81.79,58.52,86.82,82.39,56.83
34,72.64,58.03,86.81,84.13,55.52
35,79.17,55.75,84.41,84.88,55.18
36,84.89,55,86.52,82.09,56.08
