   ,CO,NO2,SO2,O3,PM25,PM10,TEMPERATURE,HUMIDITY,RECEIVETIME,PM05N,PM1N,PM25N,PM10N
1,65.76,333.93,291.45,597.69,13.83,15.79,0.86,15.62,2017/1/22 14:00,2179.07,943.24,110.45,3471151.14
2,81.1,317.93,314.33,641.93,16.67,19,1.83,14.53,2017/1/22 15:00,2746.83,1145.7,140.27,4473927.27
3,79,308.84,307.88,645.44,23.52,26.92,2,14.04,2017/1/22 16:00,3705.32,1483.2,199.28,4026534.84
4,79.13,288.9,302.17,620.9,26,29.2,0.97,15.3,2017/1/22 17:00,4210.1,1660.87,226.87,6710889.4
5,68.73,287.53,240.83,596.43,20,24.73,-1.17,29.57,2017/1/22 18:00,2762.57,1184.33,164.97,4473927.27
6,58.73,267.47,213.83,583.63,22.03,26.33,-3.3,35.6,2017/1/22 19:00,2532.7,1118.3,169.97,2236965.13
7,75.03,237.2,233.57,536.53,26.93,32.1,-4,38.37,2017/1/22 20:00,2833.83,1244.37,203.87,559243.53
8,66.97,241.7,210.17,538.3,44.63,56.5,-4.8,44.27,2017/1/22 21:00,4381.43,1905.4,349.17,559243.53
9,66.77,231.13,207.27,519.33,50.27,60.37,-6,55.23,2017/1/22 22:00,4529.17,1979.9,374.07,3
10,69.7,224.13,209.17,515.83,60.83,72.23,-6.9,61.03,2017/1/22 23:00,5304.03,2311.93,451.67,3
11,74.67,226.73,212.57,517.53,81.03,98.53,-7,63.2,2017/1/23,6805.37,2969.57,606,3
12,75.67,225.17,216,503.83,80.8,97.8,-7.1,62.77,2017/1/23 1:00,6766.13,2941.9,600,3
13,77.8,221.07,210.2,495.8,82.3,100.1,-8,66.87,2017/1/23 2:00,6608.6,2900.6,610.67,3
14,71.97,222.5,236.6,495.6,73.47,90.6,-8,68.83,2017/1/23 3:00,6015.07,2638.73,540.7,3
15,71.67,212.97,278.27,480.6,79.13,97.8,-8.27,66.87,2017/1/23 4:00,6404.5,2830.1,588.93,3
16,75.97,196.47,281,465.53,87.4,106.2,-9,69.53,2017/1/23 5:00,7700.27,3311.63,665.53,2796205.67
17,70.63,212,301.27,485.83,80.87,102.7,-9,70.83,2017/1/23 6:00,6695.57,2920.7,615.07,1118484.07
18,71.5,216.87,301.97,483.77,70.5,85.63,-8.5,68.87,2017/1/23 7:00,6109.2,2638.17,529.17,1677724.6
19,78.2,230,257.5,512.93,84.93,103.17,-8.63,70.5,2017/1/23 8:00,7103.87,3086.57,624.43,3
20,80.17,219.17,280.1,502.1,100.9,122.27,-6.73,68.6,2017/1/23 9:00,9165.47,3922.3,781.87,2236965.13
21,78.47,304.2,347.6,560.47,59.87,68.6,-2.93,56.7,2017/1/23 10:00,6287.4,2627.73,463.47,559243.53
22,74.57,376.8,336.8,651.4,42.67,49.47,-0.23,39.4,2017/1/23 11:00,4941.43,2032.57,336.83,559243.53
23,73.37,393.04,331.04,713.81,37.22,43.15,1.26,26.07,2017/1/23 12:00,4642.78,1909.3,297.44,1864138.11
24,76.86,377.9,308.86,719.55,40.9,48.76,3.14,19.79,2017/1/23 13:00,4399.79,1856.07,310,578527.69
25,88.33,401.83,279.2,724.93,49.9,59.5,3.7,22.17,2017/1/23 14:00,4852.07,2055.93,359.13,3
26,76.3,417.93,476,772.4,41.1,48.57,3,19.4,2017/1/23 15:00,4482.77,1876.37,303.87,3
27,114.27,400.7,432.9,729.13,41.03,47.93,2.03,23.77,2017/1/23 16:00,5031.17,2033,320.57,1677724.6
28,97.73,336.27,323.3,659.1,38.03,45.13,0.5,32.27,2017/1/23 17:00,4498.33,1846.27,291.1,1118484.07
29,66.83,260.2,242.4,568.8,35.83,40.97,-1.6,46.67,2017/1/23 18:00,4552.83,1851.6,288.27,2796205.67
30,63.77,234.23,229.33,534.97,42.93,49.2,-4.07,59.77,2017/1/23 19:00,4615.37,1935.57,326.1,1118484.07
31,63.83,220.47,220.17,509.63,47.7,54.5,-5,73.13,2017/1/23 20:00,4930.63,2059.67,358.37,1118484.07
32,63.07,220.6,217.23,514.9,44.37,50.97,-5,77.33,2017/1/23 21:00,4495.27,1914.07,334.33,3
33,72.67,231.5,210.17,531.93,48.2,54.93,-5,79.53,2017/1/23 22:00,4920.93,2075.37,366.3,3
34,77,217.7,217.17,500.77,59.33,68.43,-4.77,80.1,2017/1/23 23:00,6227.07,2580.3,456.93,1677724.6
35,72.83,219.03,217.47,494.27,66.83,76.67,-5,79.93,2017/1/24,6556.37,2762.4,510.9,3
36,72.63,204.17,231.57,455.27,71.97,81.3,-5.93,83,2017/1/24 1:00,6776.77,2852.57,525.6,559243.53
37,69.97,196.67,233.6,462.83,73.4,83.27,-6,85.37,2017/1/24 2:00,6839.17,2890.2,535.63,1118484.07
38,66.1,200.2,236.43,470.43,71.4,80.43,-6.3,86.73,2017/1/24 3:00,6585.77,2793.33,520.5,1118484.07
39,64.3,200,224.47,485.63,76.57,85.87,-6.87,93.7,2017/1/24 4:00,6912.33,2941.57,556.1,1118484.07
40,67.57,233.87,189.07,542.57,77.03,87.73,-6.1,103.9,2017/1/24 5:00,7447.23,3142.8,583.77,559243.53
41,70.03,225.07,208.6,503.07,93.13,104.3,-6,104.7,2017/1/24 6:00,9023.87,3789.73,712.4,559243.53
42,66.83,206.5,226.03,472.03,102.47,115.5,-6,107,2017/1/24 7:00,9390.4,3980.83,774.17,559243.53
43,71.07,208.23,222.07,482.1,111.73,126.6,-6,107,2017/1/24 8:00,10486.13,4442.1,862.8,1118484.07
44,70.47,197.93,230.8,462.07,110.7,124.77,-5.17,107.1,2017/1/24 9:00,10200.83,4346.47,862.8,3
45,91.73,262.43,205.07,565.4,120.97,136.5,-1.7,103.1,2017/1/24 10:00,12627.4,5193.37,951,559243.53
46,86.73,402.57,243.43,751.87,68.23,78.2,0.83,65.6,2017/1/24 11:00,8404.23,3398.83,593.83,2236965.13
47,89.2,446.3,247.27,781.5,59.7,68.23,2.23,46.8,2017/1/24 12:00,7726.83,3068.33,487.77,1118484.07
48,105.57,435.37,231.17,789.93,62.53,70.17,3,42.73,2017/1/24 13:00,8065.3,3196.27,514.47,1118484.07
49,111.53,422.37,332.17,800.43,64.17,75.17,3.6,35.33,2017/1/24 14:00,6193.93,2614.2,478.5,3
50,118.8,434.4,324.17,806.27,67.03,80.17,3.7,33,2017/1/24 15:00,6474.57,2732.03,511.03,3
51,112.2,413.77,600.1,796.83,64.83,76.17,3,33.03,2017/1/24 16:00,6434.3,2707.17,493.03,3
52,112.9,362.53,429.43,738.53,67.63,76.93,1.8,40.57,2017/1/24 17:00,8186.87,3279.2,541.67,559243.53
53,82.43,272.5,222.47,608.87,71.03,78.93,-0.43,55.87,2017/1/24 18:00,8452.97,3388.8,568.77,3355446.2
54,74.7,257.07,195.3,582.07,78.17,88.13,-2.37,69.47,2017/1/24 19:00,8528.63,3507.27,622.83,1677724.6
55,72.77,246.43,187.93,549.63,87.93,99,-3.53,80.97,2017/1/24 20:00,9039.1,3787.4,710.4,559243.53
56,77.57,242.83,189.93,554.5,97.93,108.4,-3.97,90.77,2017/1/24 21:00,9690.47,4104.47,787.37,3
57,104.6,306.07,169.03,639.57,127.5,141.33,-1.87,92.53,2017/1/24 22:00,13871.43,5707.53,1028.1,1118484.07
58,94.6,262.13,201.17,551.2,106.27,118.1,-2.23,89.83,2017/1/24 23:00,11560.87,4734.17,854.57,1118484.07
59,97.1,257.33,217.83,527.2,129.7,147.2,-3,89,2017/1/25,13511.8,5641.9,1076.4,1677724.6
60,103.4,285.83,234.3,582.23,141.93,163.6,-2.83,82.1,2017/1/25 1:00,14093.87,5972.37,1168.1,3
61,103.23,258.8,239.93,520.87,144.83,165.13,-2.63,79.47,2017/1/25 2:00,14386.13,6115.73,1201.17,559243.53
62,103.53,244.6,245.17,521.67,143.73,164.4,-3.13,79.6,2017/1/25 3:00,14166.13,6035.27,1194.13,559243.53
63,104.2,226.43,241.83,508.83,156.53,178.2,-3.67,80.33,2017/1/25 4:00,15199.3,6493.27,1310.77,3
64,101.8,203.4,229.63,471.8,166.13,189.2,-4.83,84.67,2017/1/25 5:00,15128.47,6570,1352,3
65,102.07,199.3,230.43,457.7,184.3,211.23,-5.93,89.6,2017/1/25 6:00,15586.83,6876.9,1459.93,3
66,114.33,210.4,229.2,476.67,198.6,229.07,-5.23,94.77,2017/1/25 7:00,17480.43,7649.73,1609.17,3
67,126.67,212.47,242.53,465.83,222.1,253.77,-5.67,94.73,2017/1/25 8:00,19062.2,8399.87,1791.33,3
68,131.5,201.3,258.63,461.1,244.57,278.37,-4.73,93.93,2017/1/25 9:00,21351.8,9435.4,2016.7,3
69,150.6,252.67,302.53,497.23,235.77,264.63,-2.23,89.8,2017/1/25 10:00,23018.03,9950.23,1997.13,559243.53
70,203.4,362.93,472.83,593.13,268.23,297.6,0.53,76.83,2017/1/25 11:00,33349.2,14036.03,2433.9,4473927.27
71,200.33,498.73,515.07,709.3,247.43,289.7,3.6,58.3,2017/1/25 12:00,22318.67,9726.77,2004.4,3
72,149.77,579.93,415.07,761.1,174.33,210.3,5.6,47.9,2017/1/25 13:00,14833.93,6394.7,1365.77,3
73,137.63,607.57,292.43,803.97,165.53,198.67,6,45.3,2017/1/25 14:00,14101,6071.47,1283.53,3
74,137.47,640.73,241.3,826.53,160.6,193.3,6,44.73,2017/1/25 15:00,13796.13,5939.67,1255.27,3
75,131.6,594.4,221.37,818.83,159.9,190.33,6,45.07,2017/1/25 16:00,13654.37,5846.93,1228.47,3
76,129.9,390,248.23,697.97,164.83,195.1,5.17,48,2017/1/25 17:00,14242.5,6087.73,1270.07,3
77,122.67,286.27,233.33,610.03,166.6,191,2.47,55.1,2017/1/25 18:00,16988.33,7073.23,1359.93,3
78,120.4,270.03,207.1,595.53,169.73,189,0.63,65.27,2017/1/25 19:00,22538.1,8955.87,1497.97,4473927.27
79,131.2,249,214.63,560.67,205.1,224.53,0,72.3,2017/1/25 20:00,28822.1,11501.47,1843.77,10066332.6
80,160.2,263.73,213.57,557.7,243.9,269.57,-0.47,76.4,2017/1/25 21:00,30457.63,12563.43,2146.57,6151648.87
81,153.97,269.77,211.4,558.8,263.6,294.47,-1.03,79.63,2017/1/25 22:00,28610.43,12171.87,2283.2,3914686.73
82,143.73,251.47,216.97,508.67,277.9,311.73,-2.23,83.67,2017/1/25 23:00,28146.43,12190.33,2376.07,3355446.2
83,145.07,253.73,218.6,505.1,286.9,325.1,-2.57,85.8,2017/1/26,27561.53,12106.37,2449.73,1118484.07
84,153.73,240.4,234.8,491.5,307,347.37,-2,85.43,2017/1/26 1:00,28406.67,12647.1,2588.2,559243.53
85,153.27,228.1,240.57,496.13,319.87,358.13,-2.47,86.13,2017/1/26 2:00,30182.3,13402.63,2705.6,1118484.07
86,153.13,219.57,246.3,487.87,314.4,354.07,-2.27,86.1,2017/1/26 3:00,29893.73,13264.5,2672,1677724.6
87,156.27,236.53,265.27,491.1,305.5,350.37,-1.93,86.1,2017/1/26 4:00,28190,12538.17,2607.63,3
88,148.57,271.13,302.97,502.63,257.47,291.5,-0.73,85.17,2017/1/26 5:00,27718.07,11794.17,2240.03,3355446.2
89,143.47,222,293.47,469.87,254.97,285.5,-0.77,86.03,2017/1/26 6:00,26809.53,11389.27,2171.3,1118484.07
90,125.83,214.4,267.57,460.03,223.83,248.27,-1,90.17,2017/1/26 7:00,24815.7,10356.27,1921.1,3355446.2
91,136.83,221.4,278.27,435.53,237.8,265.67,-1,93,2017/1/26 8:00,24907.03,10582.63,2033.97,1677724.6
92,118.47,308.77,260.57,555.6,160.97,173.9,0.5,94.3,2017/1/26 9:00,23942.37,9261.63,1446.2,5592408.33
93,125.07,328.57,263.87,594.07,148.07,161.37,2.27,88.97,2017/1/26 10:00,21830.5,8396.27,1322.67,3355446.2
94,127.77,343.13,261.43,625.43,157.83,175.3,3.37,86,2017/1/26 11:00,19600.6,7764.3,1347,1677724.6
95,129.23,322.73,267,615.8,194.33,223.2,4,82.97,2017/1/26 12:00,17137.07,7288.17,1519.43,3
96,142.3,343.53,255.87,604.77,228.33,263.03,4,82.13,2017/1/26 13:00,19724.8,8468.23,1803.77,3
97,172.9,352.17,267.23,585.87,305.47,357.53,4,82.47,2017/1/26 14:00,25182.63,11207.73,2496.23,3
98,215.67,305.17,342.5,569.73,380.7,450.67,4,79,2017/1/26 15:00,29893.2,13677.47,3154.6,3
99,246,398.4,339,690.87,398.73,480.6,4.93,65.4,2017/1/26 16:00,30737.57,14266.13,3321.43,3
100,259.73,429.23,261.3,794.33,322.83,393.5,4.6,48.37,2017/1/26 17:00,25246.33,11532.3,2685.07,3
101,225.4,315.77,250.5,678.83,295.13,358,2.77,48.93,2017/1/26 18:00,25736.77,11598.6,2542.5,3
102,223.57,308.57,257.03,633.87,301.43,348.63,1,53.7,2017/1/26 19:00,34770.67,15435.07,2938.07,3355446.2
103,223.23,338.03,284.67,654.03,258.33,293.9,1.27,51.63,2017/1/26 20:00,32532.33,14117.03,2589.67,4473927.27
104,72.07,569.87,178.67,762.2,27.7,35.67,2.9,31.03,2017/1/26 21:00,3545.63,1543.07,255.5,3
105,58.43,471.33,174.63,678.27,12.63,16.93,2.53,30.7,2017/1/26 22:00,1982.9,890.33,114.2,4473927.27
106,59.6,420.63,178.27,656.27,12.87,16.23,1.33,31.5,2017/1/26 23:00,2145.73,935.77,114.03,7270129.93
107,56.07,407.5,181.03,679.9,10.57,12.27,0.13,29.17,2017/1/27,1799.73,797.47,87.43,9507092.07
108,53.67,367.83,186.87,664.97,8.93,10.6,0,30.3,2017/1/27 1:00,1529.27,704.27,71.13,8388611
109,54.77,343.67,193.5,631.63,11.63,13.4,-0.43,32.7,2017/1/27 2:00,1863.4,828.37,95.57,9507092.07
110,56,329.2,202.6,584.77,14.8,17.53,-1,35.87,2017/1/27 3:00,2007.2,895.47,115.57,4473927.27
111,57.5,280.37,207.97,554.77,16.7,19.47,-2.5,40.6,2017/1/27 4:00,1942.4,891.03,122.4,559243.53
112,68.67,223.53,222.53,490.77,18.73,22.63,-4.67,50,2017/1/27 5:00,1997.83,904.37,135.63,3
113,95.37,208.03,218.1,492,25.33,29.77,-6,65.73,2017/1/27 6:00,2409.13,1081.17,180.37,3
114,121.23,218.53,219.97,517.97,52.2,59.67,-6,71.03,2017/1/27 7:00,4760.63,2063.03,381.3,3
115,110.13,211,219.47,527.13,59.7,70.57,-6.27,73.8,2017/1/27 8:00,5416,2333.93,439.37,3
116,106,215.43,241.13,508.73,53.97,62.87,-2.83,68.57,2017/1/27 9:00,5690.2,2386.33,414.7,1118484.07
117,76.2,343.8,292.87,644.17,24.7,28.43,2.43,43.37,2017/1/27 10:00,3998.47,1596.37,213.47,2236965.13
118,74.1,419.37,294.23,735.43,20,23.37,4.87,24.03,2017/1/27 11:00,2534.47,1122.37,149.93,3
119,80.67,508.43,197.7,776.37,17.27,20.6,6,16.77,2017/1/27 12:00,1837.23,874.23,113.8,3
120,95.1,521.17,175.7,781.47,14.63,17.37,6.13,13.53,2017/1/27 13:00,1552.8,771.7,91.33,3
121,68.43,625.93,154.03,799.4,13.77,16.1,6.1,11.53,2017/1/27 14:00,1497.97,750.8,85.57,3
122,73,626.37,164.6,773.87,18,20.57,5.17,13,2017/1/27 15:00,1894.7,896.23,117.77,3
123,71.37,635.53,151.43,773.9,21.13,24.6,5,13.6,2017/1/27 16:00,2216.97,1023.73,143.4,3
124,69.23,577,160.7,768.6,21.07,24.57,4.73,15.27,2017/1/27 17:00,2147.17,1002.1,139.77,3
125,71.93,371.4,203.9,616.27,28.8,33.63,2.1,23.4,2017/1/27 18:00,3865.4,1594.1,230.3,3355446.2
126,77.6,263.87,237.17,538.6,52.97,59.53,-0.13,30.73,2017/1/27 19:00,8043.53,3062.97,456.9,6710889.4
127,73.53,230.37,233,526.93,53.13,60.03,-1,35.1,2017/1/27 20:00,6746.2,2670.67,420.47,4473927.27
128,87.67,215.2,254.2,497.03,77.63,89.03,-1.43,38.5,2017/1/27 21:00,9904,3901.37,631.27,5033167.8
129,114.6,295.63,290.33,597.97,121.8,139.6,-0.5,34.03,2017/1/27 22:00,15734.37,6230.67,1035.43,4473927.27
130,112.47,297.37,376.07,569.7,172.8,195.7,0,38.73,2017/1/27 23:00,23903.83,9438.27,1518.03,7829370.47
131,118.13,262.63,359.57,516.57,160.83,183.47,-0.93,50.63,2017/1/28,19986.23,8043.23,1362.77,6151648.87
132,126.3,255.17,306.6,505.5,157.2,177.17,-1,61.5,2017/1/28 1:00,18829.33,7581.3,1307.43,4473927.27
133,115.37,265.8,343.47,513.83,127.53,146.1,-1,67.03,2017/1/28 2:00,14646.53,5965.57,1054.13,2796205.67
134,91.07,237.3,499.57,474.53,100.2,117.4,-0.9,65.87,2017/1/28 3:00,12073.43,4859.27,847.93,5592408.33
135,98.7,228.47,483.33,466.47,101.77,115.67,0,62.57,2017/1/28 4:00,13407.3,5284.07,882.63,7829370.47
136,112.33,227.4,429.37,448.3,108.97,123.77,0,60.6,2017/1/28 5:00,15630.63,6050.07,982.8,10066332.6
137,123.23,223.4,363.53,460.87,108.2,122.13,0,59.1,2017/1/28 6:00,15797.9,6127.3,965.3,5033167.8
138,116.1,220.43,351.43,458.8,103.07,116.63,0,58.6,2017/1/28 7:00,15654.07,6001,934.43,6710889.4
139,126.1,227.3,455.73,465.07,124.97,141,0,59.93,2017/1/28 8:00,17936.5,6983.87,1120.7,3355446.2
140,136.5,227.57,495.2,472.1,146.67,164.77,0,61.23,2017/1/28 9:00,21681.13,8400.9,1317.77,8388611
141,138.93,232.93,471.33,476.13,148.67,166.4,0.57,64.33,2017/1/28 10:00,22189.37,8607.37,1358.5,6710889.4
142,141.67,253.17,497.23,494.93,164.73,183.6,1,66.5,2017/1/28 11:00,24158.17,9443.43,1506.47,5033167.8
143,141.83,252.27,534.5,497.23,158.13,176.2,1.83,67.63,2017/1/28 12:00,23141.13,8995.93,1448.4,3355446.2
144,136.7,250.23,443.07,503.43,147.97,164.37,2,68.83,2017/1/28 13:00,21980.7,8481.9,1341.63,2796205.67
145,133.73,231.57,390.07,493.17,145.13,160.67,2,69.7,2017/1/28 14:00,21705.17,8312.07,1318,2796205.67
146,145.27,216.9,334.73,491.4,163.87,180.33,2,71.27,2017/1/28 15:00,24360.07,9365.7,1441.07,3914686.73
147,131.6,208.43,291.47,458.63,156.73,172.5,2,74.17,2017/1/28 16:00,23739.13,9096.67,1389.13,1677724.6
148,132.1,202.07,287.37,476,151.43,165.77,2,76.07,2017/1/28 17:00,23259.87,8817.5,1334.5,5033167.8
149,133.43,201.5,293.07,459.17,158.87,175.53,1.77,76.47,2017/1/28 18:00,24259.93,9262.77,1408.97,3355446.2
150,145.23,188.57,297.33,435.93,185.03,201.43,1,79.57,2017/1/28 19:00,27932.1,10782.1,1618.4,8388611
151,151.23,178.3,288.03,415.47,201.43,219.57,0.23,86.43,2017/1/28 20:00,30434.2,11970.97,1809.5,8947851.53
152,141.4,169.8,276.83,409.73,223.4,242.37,-0.7,96.03,2017/1/28 21:00,32015.1,12761.97,1972.33,6151648.87
153,143.03,170.83,274.57,409.2,252.1,275.97,-1.67,104.77,2017/1/28 22:00,33122.1,13572.6,2210.37,7829370.47
154,134.6,171.63,272.37,403.87,281.77,312.97,-2,108,2017/1/28 23:00,32302.1,13677.77,2433.97,6151648.87
155,133.67,163.57,280.73,392.77,327.2,364.6,-2,108,2017/1/29,37173.77,16161.07,2899.5,6710889.4
156,150.37,158.47,290.73,356.5,387.73,435.53,-2.8,108,2017/1/29 1:00,40042.97,18058.87,3432.83,5592408.33
157,165.67,158.7,316.5,360.87,376.97,422.4,-2,108,2017/1/29 2:00,39070.63,17576.63,3354.17,3914686.73
158,165.93,168.07,312.87,380.07,343.83,386.07,-2,108,2017/1/29 3:00,35622.67,15812.43,3029.3,6151648.87
159,162.23,175.9,293,401.37,312.47,349.63,-2.5,108,2017/1/29 4:00,32919.4,14377.23,2738.67,3914686.73
160,217.13,213.4,289.6,442.43,288.33,322.1,-1.2,108,2017/1/29 5:00,34704.53,14807.33,2609.2,7270129.93
161,207.47,211.3,287.8,443.97,270.8,304.93,-1,108,2017/1/29 6:00,32900.43,13948.03,2457.9,6710889.4
162,206.03,279.5,289.93,490.07,238.1,267.2,-0.77,105.17,2017/1/29 7:00,29706.87,12458.63,2212.73,8947851.53
163,160.37,343.6,300.57,569.03,146.6,164.17,-0.47,82.73,2017/1/29 8:00,19228.73,7767.97,1339.23,6710889.4
164,86.63,489.57,241.6,696.93,41.03,49.93,0,46.77,2017/1/29 9:00,5338.93,2232.87,381.03,6710889.4
165,55.63,590.47,196.57,736.47,8.87,14.63,0.57,24.07,2017/1/29 10:00,1210.87,647.13,95.7,6710889.4
166,58.73,543.67,206.87,708.5,10,16.47,1.77,22.23,2017/1/29 11:00,1430.57,722.57,108.13,3914686.73
167,61.2,530.2,198.23,720.33,10.93,17.63,2.37,18.67,2017/1/29 12:00,1526.43,767.8,119.53,1677724.6
168,60.2,476.1,198.37,700.4,12.77,19.83,2,17.6,2017/1/29 13:00,1845.63,877.03,132.93,2236965.13
169,58.77,496.03,190.37,711.6,13.53,20.47,1.3,17.87,2017/1/29 14:00,1929.83,906.4,140.03,2236965.13
170,60.03,506.77,184.87,736.47,12.47,17.8,1.63,16.17,2017/1/29 15:00,1827.67,860.3,128.23,3914686.73
171,58.13,464.03,184.83,726.1,13.13,18.8,0.7,17.83,2017/1/29 16:00,1974.87,913.57,135.3,5033167.8
172,57.7,388.73,196.2,697.97,13,18.67,0,19.23,2017/1/29 17:00,1969.97,900.87,129.47,6710889.4
173,56.53,345.27,194.77,638.7,15.63,20.63,-0.4,25,2017/1/29 18:00,2413.47,1040.83,147.27,3914686.73
174,58.27,324.83,188.23,596.2,19,24.23,-1.37,35.1,2017/1/29 19:00,2553.5,1110.4,165.93,3355446.2
175,68.87,290.07,198,574.37,21.9,26.9,-1.53,48.93,2017/1/29 20:00,2901.8,1250.93,188.97,3914686.73
176,73.2,244.57,222.33,529.07,29.63,36.2,-2.7,52.7,2017/1/29 21:00,3309.93,1429.67,238.9,3
177,67.53,246.33,218.97,529.47,26.87,32.93,-3.93,53.6,2017/1/29 22:00,2855.97,1254.33,209.17,3
178,67.43,222.57,231.47,498.63,42.13,51.77,-4.93,53.37,2017/1/29 23:00,4202.7,1803.43,338.4,3
179,71.33,223.2,238.93,501.53,47.33,56.5,-5.03,51,2017/1/30,4423.93,1921.53,367.8,3
180,72.63,268.6,220.03,570.03,30.83,37.33,-5.37,45.67,2017/1/30 1:00,2959.37,1311.7,235.97,3
181,65.23,246.4,226.73,544.43,26.57,33.3,-5.43,46.03,2017/1/30 2:00,2619.77,1170.17,200.13,3
182,61.53,194.23,241,486.73,34.53,42.77,-7.3,50.97,2017/1/30 3:00,3079.9,1374.17,252.4,3
183,57.23,212.63,239.27,502.43,27.97,34.37,-8,49.77,2017/1/30 4:00,2468.77,1101.73,198.07,3
184,56.7,219.43,233.8,521.4,21.03,25.5,-8,47.87,2017/1/30 5:00,1927.1,877.03,140.43,3
185,53.13,231.77,224.6,531.9,15.47,18.67,-8,47.93,2017/1/30 6:00,1477.73,680.93,100.23,3
186,49.83,238.87,223.97,547.8,11.8,14.2,-8.2,47.17,2017/1/30 7:00,1233.13,569.27,72.87,3
187,51.2,204.63,231.23,486.77,16.67,21.3,-8.93,50.2,2017/1/30 8:00,1602.43,729.83,112.13,3
188,56.23,268.2,211.97,604.47,21.43,25.53,-5.57,40.53,2017/1/30 9:00,2120.1,961.27,154,3
189,55.03,375.77,188.43,677.1,14.3,16.97,-1.93,25.37,2017/1/30 10:00,1767.17,822.37,103.17,3
190,55.23,409.77,210.9,718.5,8.47,9.97,-0.07,18.17,2017/1/30 11:00,1493.67,679.27,64.53,3914686.73
191,56.29,416.51,201.09,750.11,8.11,9.11,1.17,14.66,2017/1/30 12:00,1459.03,672.4,58.49,3355446.2
192,57.53,378.3,207.57,734.13,7.67,8.4,2.4,8.57,2017/1/30 13:00,1371.67,643.2,49.5,559243.53
193,59.37,380.5,178.8,741.63,7.77,8.7,4,5.27,2017/1/30 14:00,968.03,530.9,38,3
194,59.4,376.6,180.23,745.63,7.23,8.07,4,4.3,2017/1/30 15:00,921.7,521.8,34.4,3
195,60.43,384.37,175.43,721.4,8.2,8.93,4,3.83,2017/1/30 16:00,1003.8,546.7,39.63,3
196,58.83,393.87,179.3,708.13,9.93,11.37,2.77,5.33,2017/1/30 17:00,1204,618.1,57.13,3
197,71.23,295.5,201.23,609.23,13.27,15.8,0.07,20.9,2017/1/30 18:00,1856.47,840.3,102.23,3355446.2
198,68.57,243.53,235.3,559.73,20.23,24,-2.97,28.37,2017/1/30 19:00,2413.63,1058.2,155.13,559243.53
199,75.43,233.6,219.13,606.4,40.73,48.93,-4.73,35.47,2017/1/30 20:00,4053.17,1747.8,316.93,3
200,84.63,247.2,197.87,545.77,34,40.67,-5,44.03,2017/1/30 21:00,3360.7,1472.37,267.5,3
201,90.9,243.63,198.33,499.2,45.63,54.97,-5,48.97,2017/1/30 22:00,4542.9,1954.93,364.37,3
202,76.7,261.53,205.27,514.07,49.37,56.73,-4.3,50.4,2017/1/30 23:00,5023,2147.3,393.63,3
203,69.27,236.07,225.3,497.57,46.93,54.1,-4.63,49.1,2017/1/31,4784.17,2040.03,369.83,3
204,72.67,234.33,233.53,495.5,56.77,66.1,-5,48.93,2017/1/31 1:00,5799.7,2457.77,446.6,3
205,73.23,219.9,264.53,458.67,69.43,80.53,-4,46.43,2017/1/31 2:00,6876.9,2922.7,563.13,3
206,73.37,203.03,287.33,453.9,62.1,72.67,-4,45.53,2017/1/31 3:00,6192.5,2618.73,490.2,3
207,70.63,202.7,290.93,445.07,60.83,72.33,-4,46.27,2017/1/31 4:00,6211.37,2634.23,486.73,3
208,72.37,191.27,285.7,428.37,61.37,71.87,-4,47.47,2017/1/31 5:00,6247.57,2640.7,491.23,3
209,75.97,207.77,290.33,429.73,63,72.1,-3.27,47.83,2017/1/31 6:00,6820.83,2842.73,509.53,559243.53
210,75.7,201,287.73,427.8,64.47,75,-3,47.73,2017/1/31 7:00,6958.33,2878.47,511.1,559243.53
211,76.73,231.63,278.27,453.43,65.93,76.47,-3,45.97,2017/1/31 8:00,7133.1,2944.83,517.3,3
212,84.57,254.7,279.07,495.63,79.57,90.97,-2.57,42.97,2017/1/31 9:00,8854.67,3615.73,651.1,1677724.6
213,85.4,389.4,247.97,619.37,54.33,61.73,-0.47,33.03,2017/1/31 10:00,6971.97,2782.17,455.33,1677724.6
214,79.33,532.5,193.23,767.7,36.6,42.8,1.43,18.47,2017/1/31 11:00,4779.9,1930.3,294.03,559243.53
215,77.67,541.9,148.1,829.87,40.33,48.53,2.77,10.73,2017/1/31 12:00,4257.07,1813.93,303.4,3
216,93.97,530.73,147.23,842.1,45.9,55.6,4,9.63,2017/1/31 13:00,4503.53,1941.3,335.1,3
217,100.27,565.87,145.97,862.73,48.03,57.43,5,9.43,2017/1/31 14:00,4615.07,1969.9,342.43,3
218,92.8,599.9,138.57,863.03,43.37,53.17,5,9.27,2017/1/31 15:00,4302.87,1841.57,317.43,3
219,87.03,530.23,134.43,885.33,40.57,48.3,5,9.53,2017/1/31 16:00,4109.77,1766.4,292.33,3
220,85.13,463.17,144.9,817.9,44.67,53.43,3.63,12.53,2017/1/31 17:00,4528.87,1922.33,325.17,3
221,83.2,319.43,174.7,685.83,43.27,51.17,1.63,17.97,2017/1/31 18:00,5389.3,2184.07,342.1,1118484.07
222,81.87,270.07,204.07,607.47,48.43,55.47,0,23.7,2017/1/31 19:00,7626,2906.2,431.53,3355446.2
223,115.37,271.93,221.73,630.1,88.13,100.37,-1,29.47,2017/1/31 20:00,11377.63,4518.83,759.27,4473927.27
